dpid	is_food	hp_cal_dt	dpid	gender	age_range	occupation_dm	city_name	phone_model	brand	mobile_os	begin_hour	end_hour	cnt_search	ugc_reviewcnt	ugc_notecnt	ugc_checkincnt	ugc_freshcnt
1ca852af3b1542e08971b612dd0b7ac0a158172431766172594	0	2021-08-29	1ca852af3b1542e08971b612dd0b7ac0a158172431766172594	male	40以上	白领	宁波	NULL	NULL	android	16:59	16:59	1	2	1	1	1
1ca908ced7f2488ebda5386e91ea75a4a156942568989384504	1	2021-08-29	1ca908ced7f2488ebda5386e91ea75a4a156942568989384504	male	30~35	其他	十堰	NULL	NULL	ios	19:59	19:59	NULL	2	4	1	1
1caa16b7fef741adac195d8c0433a53aa154654510144477633	0	2021-08-29	1caa16b7fef741adac195d8c0433a53aa154654510144477633	female	25~30	白领	深圳	NULL	NULL	ios	22:59	22:59	2	20	4	1	2
1cabc8b4b25643aea7f37b095f14ba20a162641128645082139	0	2021-08-29	1cabc8b4b25643aea7f37b095f14ba20a162641128645082139	male	35~40	白领	舟山	NULL	NULL	android	12:59	12:59	1	4	2	1	1
1cad3e79244242db890a86b266cf72d1a157439190370116514	0	2021-08-29	1cad3e79244242db890a86b266cf72d1a157439190370116514	female	35~40	白领	深圳	NULL	NULL	ios	12:59	12:59	1	2	1	1	2
1cad8844c4d4468390063a90516862a4a160974435395746841	0	2021-08-29	1cad8844c4d4468390063a90516862a4a160974435395746841	female	30~35	其他	太原	NULL	NULL	ios	14:59	14:59	1	5	4	1	2
1cad9091c4934af88e16570d8d690377a160952147670287179	0	2021-08-29	1cad9091c4934af88e16570d8d690377a160952147670287179	female	25~30	白领	杭州	NULL	NULL	ios	16:59	16:59	NULL	3	2	1	1
1cadf350e01849888310bf0c637b4b07a154548857177951811	1	2021-08-29	1cadf350e01849888310bf0c637b4b07a154548857177951811	male	35~40	其他	天津	NULL	NULL	ios	19:59	19:59	NULL	1	4	1	1
1cae9a51f5414c7dace225e3b8f54a84a159995296026129436	0	2021-08-29	1cae9a51f5414c7dace225e3b8f54a84a159995296026129436	female	30~35	其他	佛山	NULL	NULL	android	19:59	19:59	NULL	1	1	1	1
1caef795af624b0aba73b61637f51396a161616300020799554	1	2021-08-29	1caef795af624b0aba73b61637f51396a161616300020799554	female	30~35	其他	松滋市	NULL	NULL	android	12:59	12:59	4	16	4	1	1
1caf2740237d4f57acec4072fc6dc63ea161964698371891218	0	2021-08-29	1caf2740237d4f57acec4072fc6dc63ea161964698371891218	female	30~35	其他	上海	NULL	NULL	ios	22:59	22:59	NULL	5	1	1	1
1caf2b798ae9443aaf319e6ca81084f1a159006882676630357	0	2021-08-29	1caf2b798ae9443aaf319e6ca81084f1a159006882676630357	female	20~25	其他	天津	NULL	NULL	android	19:59	19:59	4	8	2	1	1
1caf7017fb954c11bc456c1d04ce16e4a158645823990420524	0	2021-08-29	1caf7017fb954c11bc456c1d04ce16e4a158645823990420524	female	20~25	白领	北京	NULL	NULL	android	12:59	12:59	1	7	5	1	1
1cb00d724a6a4f3c93f5873e95d8c9fda158840251721333613	0	2021-08-29	1cb00d724a6a4f3c93f5873e95d8c9fda158840251721333613	female	20~25	白领	宁波	NULL	NULL	ios	12:59	12:59	4	60	13	1	6
1cb11bf5057846229e195aa9e3775650a158775968072700633	1	2021-08-29	1cb11bf5057846229e195aa9e3775650a158775968072700633	male	40以上	白领	武汉	NULL	NULL	android	12:59	12:59	1	22	7	1	4
1cb1c829e54346879a555b6f06d6c8d4a157502323634423436	1	2021-08-29	1cb1c829e54346879a555b6f06d6c8d4a157502323634423436	female	30~35	其他	天津	NULL	NULL	android	19:59	19:59	NULL	10	4	1	1
1cb24b4ed3f34e1cae4a3d7a56a38be9a161948115592149831	0	2021-08-29	1cb24b4ed3f34e1cae4a3d7a56a38be9a161948115592149831	unknown	NULL	其他	驻马店	NULL	NULL	android	16:59	16:59	NULL	8	5	1	1
